354,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,EDFE,1,Europe/Berlin
355,Frankfurt-Hahn Airport,Hahn,Germany,HHN,EDFH,1,Europe/Berlin
356,Mannheim-City Airport,Mannheim,Germany,MHG,EDFM,1,Europe/Berlin
362,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,EDHI,1,Europe/Berlin
363,Kiel-Holtenau Airport,Kiel,Germany,KEL,EDHK,1,Europe/Berlin
367,Arnsberg-Menden Airport,Arnsberg,Germany,ZCA,EDLA,1,Europe/Berlin
368,Essen Mulheim Airport,Essen,Germany,ESS,EDLE,1,Europe/Berlin
371,Paderborn Lippstadt Airport,Paderborn,Germany,PAD,EDLP,1,Europe/Berlin
373,Dortmund Airport,Dortmund,Germany,DTM,EDLW,1,Europe/Berlin
374,Augsburg Airport,Augsburg,Germany,AGB,EDMA,1,Europe/Berlin
378,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF,EDMO,1,Europe/Berlin
379,Straubing Airport,Straubing,Germany,RBM,EDMS,1,Europe/Berlin
382,Friedrichshafen Airport,Friedrichshafen,Germany,FDH,EDNY,1,Europe/Berlin
383,Schwerin Parchim Airport,Parchim,Germany,SZW,EDOP,1,Europe/Berlin
384,Stendal-Borstel Airport,Stendal,Germany,ZSN,EDOV,1,Europe/Berlin
386,Bayreuth Airport,Bayreuth,Germany,BYU,EDQD,1,Europe/Berlin
388,Hof-Plauen Airport,Hof,Germany,HOQ,EDQM,1,Europe/Berlin
390,Koblenz-Winningen Airport,Koblenz,Germany,ZNV,EDRK,1,Europe/Berlin
392,Speyer Airport,Speyer,Germany,ZQC,EDRY,1,Europe/Berlin
394,Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL,EDTD,1,Europe/Berlin
399,Braunschweig Wolfsburg Airport,Braunschweig,Germany,BWE,EDVE,1,Europe/Berlin
400,Kassel-Calden Airport,Kassel,Germany,KSF,EDVK,1,Europe/Berlin
402,Bremerhaven Airport,Bremerhaven,Germany,BRV,EDWB,1,Europe/Berlin
403,Emden Airport,Emden,Germany,EME,EDWE,1,Europe/Berlin
405,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,WVN,EDWI,1,Europe/Berlin
406,Borkum Airport,Borkum,Germany,BMK,EDWR,1,Europe/Berlin
407,Norderney Airport,Norderney,Germany,NRD,EDWY,1,Europe/Berlin
410,Westerland Sylt Airport,Westerland,Germany,GWT,EDXW,1,Europe/Berlin
413,Kuressaare Airport,Kuressaare,Estonia,URE,EEKE,2,Europe/Tallinn
415,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL,EETN,2,Europe/Tallinn
416,Tartu Airport,Tartu,Estonia,TAY,EETU,2,Europe/Tallinn
417,Enontekio Airport,Enontekio,Finland,ENF,EFET,2,Europe/Helsinki
419,Halli Airport,Halli,Finland,KEV,EFHA,2,Europe/Helsinki
420,Helsinki Malmi Airport,Helsinki,Finland,HEM,EFHF,2,Europe/Helsinki
421,Helsinki Vantaa Airport,Helsinki,Finland,HEL,EFHK,2,Europe/Helsinki
428,Ivalo Airport,Ivalo,Finland,IVL,EFIV,2,Europe/Helsinki
429,Joensuu Airport,Joensuu,Finland,JOE,EFJO,2,Europe/Helsinki
430,Jyvaskyla Airport,Jyvaskyla,Finland,JYV,EFJY,2,Europe/Helsinki
